lat,lon,dominant_class,wooded_frac,cleared_frac,water_frac,n_px
37.346675,-86.160722,cleared,0.0,1.0,0.0,729
37.346675,-86.158866,cleared,0.0,1.0,0.0,601
37.346675,-86.158248,cleared,0.0,0.998,0.002,618
37.346673,-86.153299,cleared,0.0,1.0,0.0,661
37.346672,-86.148969,wooded,0.788,0.212,0.0,433
37.346671,-86.146495,cleared,0.0,1.0,0.0,729
37.346671,-86.145876,cleared,0.0,1.0,0.0,627
37.34667,-86.14402,cleared,0.0,1.0,0.0,706
37.34667,-86.143402,cleared,0.0,1.0,0.0,720
37.34667,-86.142165,wooded,0.971,0.029,0.0,691
37.346182,-86.210827,cleared,0.015,0.931,0.054,536
37.346182,-86.210209,cleared,0.005,0.973,0.023,622
37.346182,-86.20959,cleared,0.0,1.0,0.0,729
37.346183,-86.208972,cleared,0.0,1.0,0.0,729
37.346183,-86.167527,cleared,0.0,0.965,0.035,537
37.346183,-86.166908,cleared,0.0,1.0,0.0,598
37.346182,-86.165671,cleared,0.0,0.995,0.005,551
37.346182,-86.165052,cleared,0.0,0.977,0.023,655
37.346182,-86.162578,cleared,0.0,1.0,0.0,694
37.346182,-86.16196,cleared,0.0,1.0,0.0,729
37.346182,-86.161341,cleared,0.0,1.0,0.0,729
37.346181,-86.160722,cleared,0.0,1.0,0.0,729
37.346181,-86.157629,cleared,0.0,1.0,0.0,519
37.34618,-86.156392,cleared,0.207,0.536,0.257,459
37.34618,-86.154537,cleared,0.0,1.0,0.0,664
37.34618,-86.153918,cleared,0.0,0.994,0.006,722
37.34618,-86.153299,cleared,0.068,0.93,0.002,544
37.346179,-86.152062,cleared,0.0,0.996,0.004,508
37.346179,-86.151444,cleared,0.0,0.997,0.003,693
37.346178,-86.148969,cleared,0.0,1.0,0.0,674
37.346178,-86.148351,cleared,0.092,0.908,0.0,512
37.346177,-86.146495,cleared,0.0,0.956,0.044,612
37.346177,-86.145876,cleared,0.0,1.0,0.0,706
37.346177,-86.145258,water,0.32,0.218,0.462,435
37.346177,-86.144639,cleared,0.0,0.946,0.054,606
37.346176,-86.144021,cleared,0.0,1.0,0.0,729
37.346176,-86.143402,cleared,0.0,1.0,0.0,707
37.346176,-86.142165,cleared,0.082,0.918,0.0,599
37.34617,-86.128556,cleared,0.0,0.937,0.063,524
37.345688,-86.210827,wooded,0.983,0.017,0.0,533
37.345688,-86.210209,wooded,0.809,0.109,0.082,571
37.345689,-86.20959,cleared,0.0,0.978,0.022,544
37.345689,-86.208972,cleared,0.0,1.0,0.0,618
37.345689,-86.208353,cleared,0.0,1.0,0.0,713
37.345689,-86.207734,cleared,0.0,1.0,0.0,542
37.345689,-86.165671,cleared,0.0,1.0,0.0,539
37.345688,-86.164434,cleared,0.088,0.89,0.021,565
